Original_Title,Author,ISBN13,Publisher,Published_Date
Arcadia,Lauren Groff,9781401340872, Voice,2012
"Doomed Queen Anne (Young Royals, #3)",Carolyn Meyer,9780152050863, HMH Books for Young Readers,2004
Magic Strikes,Ilona Andrews,9780441017027, Ace,2009
Grab On to Me Tightly as if I Knew the Way,Bryan Charles,9780060882983, Harper Perennial,2006
Princess: A True Story of Life Behind the Veil in Saudi Arabia,Jean Sasson,9780967673745, Windsor-Brooke Books,2010
The Ersatz Elevator,Lemony Snicket,9780060566210, HarperCollins Publishers,2001
The Rest Is Noise: Listening to the Twentieth Century,Alex  Ross,9780374249397," Farrar, Straus and Giroux",2007
The Religion,Tim Willocks,9780374248659," Farrar, Straus and Giroux",2007
Personal Demon,Kelley Armstrong,9780553806618, Bantam,2008
Command Authority,Tom Clancy,9780399160479, G.P. Putnam's Sons,2013
In the Shadow of the Banyan,Vaddey Ratner,9781451657708, Simon & Schuster,2012
The Witness,Nora Roberts,9780399159374, G.P. Putnam's Sons,2012
You Are Not a Stranger Here: Stories,Adam Haslett,9780385720724, Anchor,2003
Open: An Autobiography,Andre Agassi,9780307268198, Knopf,2009
Charles and Emma: The Darwins' Leap of Faith,Deborah Heiligman,9780805087215, Henry Holt and Co. (BYR),2009
Mũrogi wa Kagogo,Ngũgĩ wa Thiong’o,9781400033843, Anchor,2007
End the Fed,Ron Paul,9781600248665, Grand Central Publishing,2009
Párhuzamos történetek,Péter Nádas,9780374229764," Farrar, Straus and Giroux",2011
Fearless Fourteen,Janet Evanovich,9780312349516, St. Martin's Press,2008
Wither,Lauren DeStefano,9781442409057, Simon & Schuster Books for Young Readers,2011
Blackout,Mira Grant,9781841499000, Orbit,2012
Living with the Dead,Kelley Armstrong,9780553806649, Bantam,2008
Samuel Johnson Is Indignant: Stories,Lydia Davis,9780312420567, Picador,2002
The Immortal Prince,Jennifer Fallon,9780732283353, Voyager,2007
Erak's Ransom,John Flanagan,9781741662092, Random House Australia,2007
What Do You Do?,Gillian Flynn,9780804188975, Crown,2015
