Original_Title,Author,ISBN13,Publisher,Published_Date
Let the Great World Spin,Colum McCann,9781400063734, Random House,2009
"Hush, Hush",Becca Fitzpatrick,9781416989417, Simon & Schuster BFYR,2009
Blood Promise,Richelle Mead,9781595141989, Penguin Razorbill,2009
Peace Like a River,Leif Enger,9780802139252, Atlantic Monthly Press,2002
Balzac et la Petite Tailleuse chinoise,Dai Sijie,9780385722209, Anchor,2002
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,9780805063899, Owl Books (Henry Holt),2002
The Sisterhood of the Traveling Pants,Ann Brashares,9780385729338, Delacorte Press,2001
The Battle of the Labyrinth,Rick Riordan,9781423101468, Hyperion Books for Children,2008
Olive Kitteridge,Elizabeth Strout,9781400062089, Random House,2008
The Lost Symbol,Dan Brown,9780385504225, Doubleday,2009
Shantaram,Gregory David Roberts,9781920769208, Scribe,2004
The Titan's Curse,Rick Riordan,9780141382890, Puffin Books,2007
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,9780812971064, Random House Trade Paperbacks,2003
Everything Is Illuminated,Jonathan Safran Foer,9780060529703, Harper Perennial,2003
The Goldfinch,Donna Tartt,9780316055437," Little, Brown",2013
The Maze Runner,James Dashner,9780385737944, Delacorte Press,2009
The Last Lecture,Randy Pausch,9781401323257, Hyperion,2008
The Sea of Monsters,Rick Riordan,9780786856862, Hyperion Books,2006
World War Z: An Oral History of the Zombie War,Max Brooks,9780307346605, Crown,2006
Seabiscuit,Laura Hillenbrand,9780345465085, Ballantine Books,2003
Frostbite,Richelle Mead,9781595141750, Razorbill,2008
A Feast for Crows,George R.R. Martin,9780553582024, Bantam Books,2011
Thirteen Reasons Why,Jay Asher,9781595141712, Razorbill,2007
L'élégance du hérisson,Muriel Barbery,9781933372600, Europa Editions,2008
"Män som hatar kvinnor, Flickan som lekte med elden, Luftslottet som sprängdes",Stieg Larsson,9780307594778, Knopf Doubleday Publishing Group,2010
Shadow Kiss,Richelle Mead,9781595141972, Razorbill,2008
Graceling,Kristin Cashore,9780152063962, Harcourt,2008
Ready Player One,Ernest Cline,9780307887436, Crown Publishers,2011
All the Light We Cannot See,Anthony Doerr,9781476746586, Scribner,2014
Vashua's Messenger: Book 2 of the Vadelah Chronicles,Julie Rollins,9781553069416, Essence Publishing,2005
Hunting Ground,Patricia Briggs,9780441017386, Ace Books,2009
Brooklyn,Colm Tóibín,9781439138311, Scribner,2009
Year of Wonders: A Novel of the Plague,Geraldine Brooks,9780142001431, Penguin,2002
Heist Society,Ally Carter,9781423116394, Hyperion Book CH,2010
A Hat Full of Sky,Terry Pratchett,9780552552646, Corgi Childrens,2005
The Outlaw Demon Wails,Kim Harrison,9780060788704, Eos,2008
The Imperfectionists,Tom Rachman,9780385343664, The Dial Press,2010
Magyk,Angie Sage,9780060577315," Katherine Tegen, Harper Collins",2005
The Autograph Man,Zadie Smith,9780375703874, Vintage,2003
The Power of Six,Pittacus Lore,9780061974557, HarperCollins,2011
The Stolen Child,Keith Donohue,9780385516167, Nan A. Talese,2006
The Serpent's Tale,Ariana Franklin,9780399154645, Putnam Adult,2008
The Round House,Louise Erdrich,9780062065247, HarperCollins,2012
We Are All Completely Beside Ourselves,Karen Joy Fowler,9780399162091, G.P. Putnam's Sons,2013
Something Blue,Emily Giffin,9780312323868, St. Martin's Griffin,2006
Before You Know Kindness,Chris Bohjalian,9781400031658, Vintage,"August, 2005"
American Rust,Philipp Meyer,9780385527514, Spiegel & Grau,2009
The Cuckoo's Calling,Robert Galbraith,9780316206846," Mulholland Books / Little, Brown and Company",2013
A Fraction of the Whole,Steve Toltz,9780385521727, Spiegel & Grau,2008
Between Shades of Gray,Ruta Sepetys,9780399254123, Philomel Books,2011
Faefever,Karen Marie Moning,9780385341639, Delacorte Press,2008
Monsters of Men,Patrick Ness,9781406310276, Walker Books Ltd.,2010
Free Four: Tobias Tells the Divergent Story,Veronica Roth,9780062237422, Katherine Tegen Books,2012
Berlin: The Downfall 1945,Antony Beevor,9780142002803, Penguin Books,2003
Forbidden,Tabitha Suzuma,9781862308169, Definitions,2010
Next,Michael Crichton,9780060872984, HarperCollins,2006
GraceLand,Chris Abani,9780312425289, Picador,2005
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,9780805079838, Metropolitan Books,2007
I Am Pilgrim,Terry Hayes,9780593064955, Bantam,2013
The Tin Roof Blowdown,James Lee Burke,9781416548485, Simon & Schuster,2007
"The Iron King (The Iron Fey, #1)",Julie Kagawa,9780373210084, Harlequin Teen,2010
Go Set a Watchman,Harper Lee,9780062409850, HarperCollins,2015
My Dream of You,Nuala O'Faolain,9781573229081, Riverhead Books,2002
Magic Bites,Ilona Andrews,9780441014897, Ace,2007
The Edge of Never,J.A. Redmerski,9781480095533, Createspace,2012
Collapse: How Societies Chose to Fail or Succeed,Jared Diamond,9780143036555, Penguin Books Ltd. (London),2005
Shanghai Girls,Lisa See,9781400067114, Random House,2009
Still Alice,Lisa Genova,9780595440092, iUniverse,2007
The Sense of an Ending,Julian Barnes,9780224094153, Jonathan Cape,2011
Beautiful Creatures,Kami Garcia,9780316042673," Little, Brown and Company",2009
A Dirty Job,Christopher Moore,9780060590277, William Morrow,2006
City of Thieves,David Benioff,9780670018703, Viking / Penguin,2008
"PS, I Love You",Cecelia Ahern,9780786890750, Hachette Books,2005
In the Woods,Tana French,9780670038602, Viking,2007
The Birth of Venus,Sarah Dunant,9780812968972, Random House Trade Paperbacks,2004
The Knife of Never Letting Go,Patrick Ness,9781406310252, Walker,2008
"Dreams of the Ringed Vale (Luthiel's Song, #1)",Robert Fanney,9780976422600, Dark Forest Press,2005
Fifty Shades Darker,E.L. James,9781612130583, The Writer's Coffee Shop Publishing House,2011
Same Kind of Different as Me,Ron Hall,9780849900419, Thomas Nelson,2006
March,Geraldine Brooks,9780143036661, Penguin,2006
Loving Frank,Nancy Horan,9780345494993, Ballantine Books,2007
Ut og stjæle hester,Per Petterson,9781555974701, Graywolf Press,2007
In Defense of Food: An Eater's Manifesto,Michael Pollan,9781594201455," Penguin Press HC, The",2008
The Girl on the Train,Paula Hawkins,9781594633669, Riverhead Books,2015
Bring Up the Bodies,Hilary Mantel,9780805090031," Henry Holt & Company, Inc.",2012
Deception Point,Dan Brown,9780671027384, Pocket Books,2002
The Summoning,Kelley Armstrong,9780061662690, HarperCollins,2008
The Little Friend,Donna Tartt,9781400031696, Vintage,2003
A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,9780374105235," Farrar, Straus and Giroux",2007
I Am America (And So Can You!),Stephen Colbert,9780446580502, Grand Central Publishing,2007
I Am Number Four,Pittacus Lore,9780061969553, HarperCollins,2010
Clockwork Princess,Cassandra Clare,9781406321340, Walker Books Ltd,2013
Dead to the World,Charlaine Harris,9780441012183, Ace Books,2005
Paper Towns,John Green,9780142414934, Speak,2009
Vernon God Little,DBC Pierre,9780571215164, Faber and Faber,2004
Mistborn : The Final Empire,Brandon Sanderson,9780765311788, Tor Books,2006
If I Stay,Gayle Forman,9780525421030, Dutton Books for Young Readers,2009
The Lacuna,Barbara Kingsolver,9780060852573, Harper,2009
Table 21,T. Rafael Cimino,9780615484433, BMG/ Akula Media Group,2011
Shiver,Maggie Stiefvater,9780545123266, Scholastic Press,2009
The Tale of Despereaux,Kate DiCamillo,9780763625290, Candlewick Press,2008
Moloka'i,Alan Brennert,9780312304355, St. Martin's Griffin,2004
The Gargoyle,Andrew Davidson,9780385524940, Doubleday,2008
The Nanny Diaries,Emma McLaughlin,9780312291631, St. Martin's Griffin,2003
Fallen,Lauren Kate,9780385738934, Delacorte Press,2009
Allegiant,Veronica Roth,9780007524273, HarperCollins Children's Book's,2013
Eldest,Christopher Paolini,9780375840401, Knopf Books for Young Readers,2007
Assassination Vacation,Sarah Vowell,9780743260046, Simon & Schuster,2006
A Discovery of Witches,Deborah Harkness,9780670022410, Viking Penguin,"February, 2011"
The Hour I First Believed,Wally Lamb,9780060393496, Harper,2008
A Great and Terrible Beauty,Libba Bray,9780689875342, Simon and Schuster,2003
Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,9780446407410, Grand Central Publishing,2008
The Crimson Petal and the White,Michel Faber,9781841954318, Canongate Books,2003
Fall on Your Knees,Ann-Marie MacDonald,9780743466523, Pocket Books,2002
Coraline,Neil Gaiman,9780061139376, William Morrow Paperbacks,2006
The Known World,Edward P. Jones,9780061159176, Amistad,2006
Freedom,Jonathan Franzen,9780374158460," Farrar, Straus and Giroux",2010
On Beauty,Zadie Smith,9780143037743, Penguin Books,2006
The Immortal Life of Henrietta Lacks,Rebecca Skloot,9781400052172, Crown Publishing Group,2010
We Need to Talk About Kevin,Lionel Shriver,9780061124297, Harper Perennial,2006
World Without End,Ken Follett,9780525950073, Berkley,2007
The Five People You Meet in Heaven,Mitch Albom,9781401308582, Hyperion,2003
11/22/63,Stephen King,9781451627282, Scribner,2011
Clockwork Angel,Cassandra Clare,9781416975861," Simon & Schuster, Margaret K. McElderry",2010
Eragon,Christopher Paolini,9780375826696, Knopf Books for Young Readers,"April, 2005"
Cutting for Stone,Abraham Verghese,9780375414497, Knopf,2009
Engleby,Sebastian Faulks,9780385524056, Doubleday,2007
The Undomestic Goddess,Sophie Kinsella,9780385338691, Dial Press Trade Paperback,2006
Prey,Michael Crichton,9780061015724, Avon,2003
Circle Trilogy 3 in 1,Ted Dekker,9781595545329, Thomas Nelson,2008
God Is Dead,Ron Currie Jr.,9780670038671, Viking Adult,2007
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,9780330419123, Pan MacMillan,2004
"Love, Lex: (The Undergrad Years #1) New Adult Contemporary Romance",Avery Aster,9781497465145, CreateSpace,2014
A Decent Ride,Irvine Welsh,9780224102186, Jonathan Cape,2015
Il cimitero di Praga,Umberto Eco,9780547577531, Houghton Mifflin Harcourt Trade,2011
When Will There Be Good News?,Kate Atkinson,9780316154857," Little, Brown and Company",2008
Benjamin Franklin: An American Life,Walter Isaacson,9780743258074, Simon & Schuster,2004
Chosen: A House of Night Novel,P.C. Cast,9780312360306, St. Martin's Griffin,2008
Gulag: A History,Anne Applebaum,9780767900560, Doubleday Publishing,2003
Unearthly,Cynthia Hand,9780061996160, HarperTeen,2011
Snømannen (Harry Hole #7),Jo Nesbø,9780307595867, Knopf,2011
The Storied Life of A.J. Fikry,Gabrielle Zevin,9781616206314, Algonquin Books,2014
The Places In Between,Rory Stewart,9780156031561, Mariner Books,2006
"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,9780060852559, HarperCollins Publishers,2007
The Wise Man's Fear,Patrick Rothfuss,9780756404734, DAW Books,2011
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,9780451219367, Signet Book,2006
The One,Kiera Cass,9780062059994, HarperTeen,2014
Eleven on Top,Janet Evanovich,9780312985349, St. Martin's Press,2006
Beautiful Darkness,Kami Garcia,9780316077057," Little, Brown and Company",2010
On the Island,Tracey Garvis-Graves,9781405910217, Penguin,2012
"Bitter is the New Black : Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",Jen Lancaster,9780451217608, NAL,2006
Ilium,Dan Simmons,9780380817924, HarperTorch,2005
Shadow and Bone,Leigh Bardugo,9780805094596, Henry Holt and Company,2012
Doctor Sleep,Stephen King,9781476727653, Scribner,2013
Prodigy,Marie Lu,9780399256769, Putnam Juvenile,2013
Anansi Boys,Neil Gaiman,9780060515195, HarperCollins HarperTorch,2006
Looking for Alaska,John Green,9780142402511, Speak,2006
Unaccustomed Earth,Jhumpa Lahiri,9780676979343, Knopf Canada,2008
The Secret Magdalene,Ki Longfellow,9780307346667, Crown,2007
People of the Book,Geraldine Brooks,9780670018215, The Viking Press,2008
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,9780446579803, Twelve,2007
Cold Days,Jim Butcher,9780451464408, Penguin Group (USA),2012
Skippy Dies,Paul Murray,9780241141823, Hamish Hamilton,2010
The Year of Magical Thinking,Joan Didion,9781400078431, Vintage,2007
John Adams,David McCullough,9780743223133, Simon & Schuster Paperbacks,2001
Empire Falls,Richard Russo,9780375726408, Vintage,2002
A Million Little Pieces,James J. Frey,9780307276902, Anchor,2005
"Eats, Shoots and Leaves",Lynne Truss,9781592402038, The Penguin Group,"April, 2006"
Gilead,Marilynne Robinson,9780312424404, Picador,2006
The Story of Edgar Sawtelle,David Wroblewski,9780061374227, Ecco,2008
Dress Your Family in Corduroy and Denim,David Sedaris,9780965904834, Little Brown & Co.,2004
The White Tiger,Aravind Adiga,9781416562597, Free Press,2008
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,9781400064168, Random House,2010
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,9780316010665, Back Bay Books,2007
What Is the What: The Autobiography of Valentino Achak Deng,Dave Eggers,9781932416640, McSweeney's,2006
The Omnivore's Dilemma,Michael Pollan,9781594200823, The Penguin Press,2006
The History of Love,Nicole Krauss,9780393328622, Norton,2006
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,9780380813810, HarperCollins,2004
The Shack: Where Tragedy Confronts Eternity,Wm. Paul Young,9780964729230, Windblown Media,2007
The God Delusion,Richard Dawkins,9780618680009, Houghton Mifflin Co. (Boston/NY),2006
Everything Is Illuminated,Jonathan Safran Foer,9780241978894, Penguin,2016
Gone Girl,Gillian Flynn,9780307588371, Broadway Books,2014
Elle s'appelait Sarah,Tatiana de Rosnay,9780312370831, St. Martin's Press,2007
Three Cups of Tea,Greg Mortenson,9780143038252, Penguin,2007
Nineteen Minutes,Jodi Picoult,9780743496728, Atria Books,2007
Jonathan Strange & Mr Norrell,Susanna Clarke,9780765356154, Tor Books,2006
The Memory Keeper's Daughter,Kim Edwards,9780143037149, Penguin Books,2006
The Art of Racing in the Rain,Garth Stein,9781554681723, Harper Collins,2008
A Short History of Nearly Everything,Bill Bryson,9780767908184, Broadway Books,2004
Oryx and Crake,Margaret Atwood,9780385721677, Anchor,2004
Persepolis,Marjane Satrapi,9780375714832, Pantheon,2007
The Night Circus,Erin Morgenstern,9780385534635, Doubleday,2011
Snow Flower and the Secret Fan,Lisa See,9780812968064, Random House,2006
The Namesake,Jhumpa Lahiri,9780618485222, Mariner Books,2004
The Historian,Elizabeth Kostova,9780751537284, Time Warner Books,2005
Bel Canto,Ann Patchett,9780060838720, Harper Perennial,2005
No Country for Old Men,Cormac McCarthy,9780375706677, Vintage,2006
Marley & Me: Life and Love with the World's Worst Dog,John Grogan,9780739461198, William Morrow; 1ST edition,2005
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",Erik Larson,9780739303405, Random House Audio Publishing Group,2003
The Other Boleyn Girl,Philippa Gregory,9780743227445, Scribner,2003
The Brief Wondrous Life of Oscar Wao,Junot Díaz,9781594489587, Riverhead Books,2007
The Thirteenth Tale,Diane Setterfield,9780743298025, Atria Books,2006
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,9780061234002, William Morrow,2006
The Name of the Wind,Patrick Rothfuss,9780756404079, Penguin Group DAW Hardcover,2007
The Corrections,Jonathan Franzen,9781841156736, Fourth Estate Paperbacks,2002
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,9780099494287, Vintage,2008
City of Ashes,Cassandra Clare,9781416914297, Margaret K. McElderry Books,2008
The Graveyard Book,Neil Gaiman,9780060530921, HarperCollins,2008
Room,Emma Donoghue,9780316098335," Little, Brown and Company",2010
City of Glass,Cassandra Clare,9781416914303, Margaret K. McElderry Books,2009
"Eat, Pray, Love",Elizabeth Gilbert,9780143038412, Riverhead Books,2007
海辺のカフカ [Umibe no Kafuka],Haruki Murakami,9781400079278, Vintage International,2006
Luftslottet som sprängdes,Stieg Larsson,9780307269997, Knopf,2010
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,9780385340991, The Dial Press,2008
"New Moon (Twilight, #2)",Stephenie Meyer,9780316160193," Little, Brown and Company",2006
Eclipse,Stephenie Meyer,9780316160209," Little, Brown and Company",2007
Cloud Atlas,David Mitchell,9780375507250, Random House,2004
Flickan som lekte med elden,Stieg Larsson,9780307269980, Alfred A. Knopf,2009
Angels & Demons,Dan Brown,9781416524793, Pocket Books,2006
The Host,Stephenie Meyer,9780316068048, Little Brown and Company,2008
Never Let Me Go,Kazuo Ishiguro,9781400078776, Vintage Books,2010
Breaking Dawn,Stephenie Meyer,9780316067928," Little, Brown and Company",2008
The Glass Castle,Jeannette Walls,9780743247542, Scribner,2006
My Sister's Keeper,Jodi Picoult,9780743454537, Washington Square Press,2005
The Secret Life of Bees,Sue Monk Kidd,9780142001745, REVIEW,2003
La sombra del viento,Carlos Ruiz Zafón,9780143034902, Penguin Books,2005
Extremely Loud and Incredibly Close,Jonathan Safran Foer,9780618711659, Mariner Books,2006
The Lightning Thief,Rick Riordan,9780786838653, Disney Hyperion Books,2006
City of Bones,Cassandra Clare,9781416914280, Margaret K. McElderry Books,2007
Divergent,Veronica Roth,9780062024039, Katherine Tegen Books,2012
Atonement,Ian McEwan,9780385721790, Anchor Books,2003
Middlesex,Jeffrey Eugenides,9780312422158, Picador,2002
Twilight,Stephenie Meyer,9780316015844," Little, Brown and Company",2006
The Lovely Bones,Alice Sebold,9780316166683," Little, Brown and Company",2006
Complete Harry Potter Boxed Set,J.K. Rowling,9780545044257, Arthur A. Levine Books,2007
The Curious Incident of the Dog in the Night-Time,Mark Haddon,9781400032716, Vintage,2004
Water for Elephants,Sara Gruen,9781565125605, Algonquin Books,2007
Mockingjay,Suzanne Collins,9780439023511, Scholastic Press,2010
The Fault in Our Stars,John Green,9780525478812, Dutton Books,2012
Män som hatar kvinnor,Stieg Larsson,9780307269751, Knopf,2008
The Road,Cormac McCarthy,9780307265432, Alfred A. Knopf,2006
The Da Vinci Code,Dan Brown,9780307277671, Anchor,2006
Catching Fire,Suzanne Collins,9780439023498, Scholastic Press,2009
Life of Pi,Yann Martel,9780770430078, Seal Books,2006
The Hunger Games,Suzanne Collins,9780439023481, Scholastic Press,2008
The Help,Kathryn Stockett,9780399155345, Amy Einhorn Books,2009
Harry Potter and the Half-Blood Prince,J.K. Rowling,9780439785969, Scholastic,2006
The Book Thief,Markus Zusak,9780375831003, Knopf Books for Young Readers,2006
Harry Potter and the Order of the Phoenix,J.K. Rowling,9780439358071, Scholastic Inc.,2004
The Kite Runner,Khaled Hosseini,9781594480003, Riverhead Books,2004
A Thousand Splendid Suns,Khaled Hosseini,9781594489501, Riverhead,2007
Hollow City,Ransom Riggs,9781594747359, Quirk Books,2015
Shadows,Jennifer L. Armentrout,9781620610084, Entangled Publishing,2012
"Out of Sight, Out of Time",Ally Carter,9781423147947, Hyperion Book CH,2012
One Foot in the Grave,Jeaniene Frost,9780061245091, Avon,2008
The Time Keeper,Mitch Albom,9781401322786, Hachette Books,2012
Sacré Bleu: A Comedy d'Art,Christopher Moore,9780061779749, HarperCollins,2012
"Firelight (Firelight, #1)",Sophie Jordan,9780061935084, HarperTeen,2010
The Children Act,Ian McEwan,9780385539708, Nan A. Talese,2014
"Public Enemies: America's Greatest Crime Wave and the Birth of the FBI, 1933-34",Bryan Burrough,9780143035374, Penguin Books,2005
The Best Place on Earth: Stories,Ayelet Tsabari,9781443411950, HarperCollins Canada,2013
Singing Lizards,Evadeen Brickwood,9781502732668, CreateSpace,2015
"Justice (New Species, #4)",Laurann Dohner,9781419937569, Ellora's Cave,2011
Stories of Music,Holly E. Tripp,9780996932707, Timbre Press,2015
milk and honey,Rupi Kaur,9781502784278, Createspace,2014
The Gnostic Bible,Willis Barnstone,9781590301999, New Seeds,2009
Crooked Kingdom,Leigh Bardugo,9781627792134, Henry Holt and Company,2016
The Nix,Nathan  Hill,9781101946619, Knopf,2016
The Acheron Deception,Patrick F. Rooney,9780990743606, Savoir Press,2014
The Street Sweeper,Elliot Perlman,9781594488474, Riverhead Books,2012
Don't Waste Your Life,John Piper,9781581344981, Crossway Books,2003
The Bullet Collection,Patricia Sarrafian Ward,9781555973766, Graywolf Press,2003
The First Bad Man,Miranda July,9781439172568, Scribner,2015
Triss,Brian Jacques,9780142402481, Firebird,2004
Four Blind Mice,James Patterson,9780747266921, Headline Book Publishing,2003
"The Emblem Throne (The Runes of Issalia, Book II)",Jeffrey  L. Kohanek,9781612967615, Black Rose Writing,2016
Baby Brains: The Smartest Baby in the Whole World (Horn Book Fanfare List (Awards)),Simon  James,9780763625078, Candlewick Press,2004
A Manual for Cleaning Women: Selected Stories,Lucia Berlin,9780374202392," Farrar, Straus and Giroux",2015
Euphoria,Lily King,9780802122551, Atlantic Monthly Press,2014
Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,9781594746031, Quirk Books,2013
Lamentation,C.J. Sansom,9780230744196, Mantle,2014
Our Souls at Night,Kent Haruf,9781101923450, Random House Audio,2015
I Remember Running: The Year I Got Everything I Ever Wanted - and ALS,Darcy Wakefield,9781569242797, Da Capo Press,2006
いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],Haruki Murakami,9788806222901, Einaudi,2014
Benediction,Kent Haruf,9780307959881, Knopf,2013
Outpost,Ann Aguirre,9780312650094, Feiwel & Friends,2012
City on Fire,Garth Risk Hallberg,9780224101714, Jonathan Cape,2015
Carry On,Rainbow Rowell,9781250049551, St. Martin's Griffin,2015
Elizabeth Is Missing,Emma  Healey,9780062309686, Harper Perennial,2015
I Smile Back,Amy Koppelman,9780976389590, Two Dollar Radio,2008
I Want My Hat Back,Jon Klassen,9780763655983, Candlewick Press,2011
Shakespeare Saved My Life: Ten Years in Solitary with the Bard,Laura  Bates,9781402273148, Sourcebooks,2013
"The Power (The Secret, #2)",Rhonda Byrne,9781439181782, Atria Books,2010
"Temeraire: In the Service of the King (Temeraire, #1-3)",Naomi Novik,9780345513540, Del Rey Books,2009
Naked Addiction (Leisure Fiction),Caitlin Rother,9780990557388, WildBlue Press,2014
Andrew Carnegie,David Nasaw,9781594201042," Penguin Press HC, The",2006
H is for Hawk,Helen Macdonald,9780224097000, Jonathan Cape,2014
Homer & Langley,E.L. Doctorow,9781400064946, Random House,2009
The Trip to Echo Spring : Why Writers Drink,Olivia Laing,9781847677945, Canongate Books,2013
Jack Glass,Adam Roberts,9780575127623, Gollancz,2012
East of the Sun,Julia Gregson,9781409102519, Orion,"June, 2008"
Simple Triple Standad,Ray Palla,9781515165811, CreateSpace,2015
Sandstorm,James Rollins,9780060580674, HarperCollins Publishers,2005
Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,Laurence Bergreen,9780060936389, William Morrow Paperbacks,2004
Die Vermessung der Welt,Daniel Kehlmann,9780375424465, Pantheon,2006
The Universe Versus Alex Woods,Gavin Extence,9780316246576, Redhook,2013
Marte Jacobs,Tim Krabbé,9789044611229, Prometheus,"October, 2007"
Merivel: A Man of His Time,Rose Tremain,9780701185213, Chatto & Windus,2012
Pure,Andrew  Miller,9781444724257, Sceptre,2012
The Astronaut Wives Club,Lily Koppel,9781455503254, Grand Central Publishing,2013
The Girls,Lori Lansens,9780316066341, Back Bay Books,2007
La Vérité sur l'affaire Harry Quebert,Joël Dicker,9782877068161, De Fallois / L'Âge d'Homme,"November, 2012"
Bodie,Anne Sweazy-Kulju,9781625107954, Tate Publishing & Enterprises,2013
Dreams Made Flesh,Anne Bishop,9780451460707, Roc,2006
The Ruby Circle,Richelle Mead,9781595143228, Razorbill,2015
The Pilgrims of Rayne,D.J. MacHale,9781416914167, Aladdin,2007
The Tent,Margaret Atwood,9780385516686, Nan A. Talese,2006
White Mughals: Love and Betrayal in Eighteenth-Century India,William Dalrymple,9780142004128, Penguin Books,2004
The Brontë Myth,Lucasta Miller,9780224037457, Jonathan Cape,2001
Der Märchenerzähler,Antonia Michaelis,9783789142895, Oetinger,2011
Peeps,Scott Westerfeld,9781595140838, Penguin,2005
Ayn Rand Answers: The Best of Her Q  &  A,Robert Mayhew,9780451216656, NAL,2005
vN,Madeline Ashby,9780857662620, Angry Robot,2012
THE HORNED GOD Chronicles: Skull Bearer,Rudra Kapalin,9781475959987, iUnivese Publications,2012
Grace in Practice: A Theology of Everyday Life,Paul F.M. Zahl,9780802828972, Eerdmans,2007
Cold Water,Gwendoline Riley,9780099437154, Vintage,2003
A Hologram for the King,Dave Eggers,9781936365746, McSweeney's,2012
The Shield of Achilles,Philip Bobbitt,9780385721387, Anchor,2003
Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,Naomi Oreskes,9781596916104, Bloomsbury Press,2010
Afterwards,Rosamund Lupton,9780307716545, Crown,2012
"Drink Deep (Chicagoland Vampires, #5)",Chloe Neill,9780451234865, New American Library,2011
The DD Group: An Online Investigation Into the Death of Marilyn Monroe,David  Marshall,9780595345205, iUniverse,2005
Smaller and Smaller Circles,F.H. Batacan,9789715423649, The University of the Philippines Press,2007
Reality Is Broken,Jane McGonigal,9780224089258, Jonathan Cape,2011
Velocity,Dean Koontz,9780553588255, Bantam,2006
Winter's Captive,June Bourgo,9781926720173," Asteroid Publishing, Incorporated",2011
Blue,Lou Aronica,9781936558001, The Fiction Studio,2011
Reform or Revolution/The Mass Strike,Rosa Luxemburg,9781931859363, Haymarket Books,2007
An Earthly Knight,Janet McNaughton,9780060089948, HarperTeen,2005
Grim Hill: The Forgotten Secret,Linda DeMeulemeester,9781897550137, Lobster Press,2009
"Knife Edge (Noughts and Crosses, #2)",Malorie Blackman,9780552548922, Corgi Childrens,2005
Now You See Me,S.J. Bolton,9780312600525, Minotaur Books,2011
Mermaid,Carolyn Turgeon,9780307589972, Crown Publishing Group,2011
"Christy Miller Collection, Vol 2 (Christy Miller Collection)",Robin Jones Gunn,9781590525852, Multnomah Publishers,2006
"Lux perpetua (Trylogia husycka, #3)",Andrzej Sapkowski,9788370541897, SuperNOWA,2007
He Restoreth my Soul,Donald L. Hilton Jr.,9780981957609, Forward Press Publishing,2009
Usher: Poems,B.H. Fairchild,9780393065756, W. W. Norton & Company,2009
"The Knife of Truth, A Matter of Honor",Ruth Willerth,9780980013009, Smattering Books,2008
A Game of Sorrows,Shona MacLean,9781849161657, Quercus Books,2010
"Hominids (Neanderthal Parallax, #1)",Robert J. Sawyer,9780765345004, Tor Books,2003
Death of an Ordinary Man,Glen Duncan,9780802170040," Grove Press, Black Cat",2004
Why the West Rules – for Now. The Patterns of History and What They Reveal About the Future,Ian Morris,9781846681479, Profile Books,2010
July,Karen Roberts,9780753813133, Phoenix,2002
Breathing Room Volume I: Free Verse (selected poems 2006-2009),Tom Waters,9781435749191, Lulu.com,2010
Healing Through the Shadow of Loss,Deborah Morris Coryell,9780892811977, Healing Arts Press,2004
Kraken: An Anatomy,China Miéville,9780345497499, Del Rey,2010
Landed,Tim Pears,9780434020072, William Heinemann,2010
Return of the Guardian-King (Legends of the Guardian-King #4),Karen Hancock,9780764227974, Bethany House Publishers,2007
Song of the Moon,Catherine  Banks,9781448659432, Createspace,2010
Invisible Driving,Alistair McHarg,9781419654473, Booksurge Publishing,2007
The Passion of Ayn Rand's Critics,James Valliant,9781930754676, Durban House,2005
All Fall Down,Ally Carter,9781408334379, Orchard Books,2015
Silent Victims: The Plight Of Arab & Muslim Americans In Post 9/11 America,Aladdin Elaasar,9781418410551, Authorhouse,2004
The Dissident: A Novel,Nell Freudenberger,9780330493444, Picador USA,2008
Teatro grottesco,Thomas Ligotti,9780978991173, Mythos Books LLC,2007
Proof by Seduction,Courtney Milan,9780373774395, HQN Books,2010
American Purgatorio: A Novel,John Haskell,9780312424992, Picador,2006
Navigatio,Patrick Holland,9781921924774, Transit Lounge Australia,2014
Unclean Jobs for Women and Girls,Alissa Nutting,9780984213320, Starcherone Books,2011
