ID,Title,Author,ISBN13,Publication,Published_Date,Ratings,Genres,Reviews,Average_Rating,Language
855,Elantris,Brandon Sanderson,9780765350374, Tor Fantasy,2006,"95,306","Fantasy, Fantasy, Epic Fantasy, Science Fiction Fantasy, Audiobook, Adult, Romance","5,864",4.16,English
856,The Ghost Brigades,John Scalzi,9780765354068, Tor Science Fiction,2007,"44,017","Science Fiction, Fiction, Science Fiction, Space Opera, War, Military","2,209",4.08,English
857,Into Africa: The Epic Adventures of Stanley and Livingstone,Martin Dugard,9780767910743, Broadway Books,2004,"3,716","History, Nonfiction, Cultural, Africa, Biography, Adventure",305,4.03,English
858,The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,9780767913737, Broadway Books,2006,"29,320","History, Nonfiction, Biography, Adventure, Travel","3,000",4.17,English
859,The Life and Times of The Thunderbolt Kid: A Memoir,Bill Bryson,9780767919364, Broadway Books,2007,"44,834","Nonfiction, Autobiography, Memoir, Humor, Biography, Biography, Autobiography, Audiobook, History, Humor, Funny, Biography Memoir, Travel","3,888",3.93,English
860,At Home: A Short History of Private Life,Bill Bryson,9780767919388, Doubleday,2011,"57,848","Nonfiction, History, Audiobook, Humor","5,089",3.96,English
861,Life of Pi,Yann Martel,9780770430078, Seal Books,2003,"1,050,396","Fantasy, Adventure, Classics, Contemporary, Literature, Novels, Cultural, India","41,979",3.88,English
862,A Constellation of Vital Phenomena,Anthony Marra,9780770436421, Hogarth,2014,"32,515","Fiction, Historical Fiction, War, Cultural, Russia, Literary Fiction, Historical","5,239",4.12,English
863,The Best Laid Plans,Terry Fallis,9780771047589, McClelland & Stewart,2008,"7,427","Fiction, Cultural, Canada, Humor, Politics",839,3.87,English
864,The Kommandant's Girl,Pam Jenoff,9780778323426, Mira,2016,"9,865","Historical Fiction, Fiction, War, World War II, Historical, Romance, World War II, Holocaust, War",975,3.92,English
865,Stray (Shifters Series #1),Rachel Vincent,9780778329077,MIRA,2010,"29,605","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Paranormal, Shapeshifters, Romance, Romance, Paranormal Romance","1,821",3.8,English
866,Poison Study,Maria V. Snyder,9780778324331, Mira,2007,"103,004","Fantasy, Young Adult, Fiction, Fantasy, Paranormal","8,920",4.16,English
867,The Secret Life Of CeeCee Wilkes,Diane Chamberlain,9780778325314, Mira Books,2016,"35,329","Fiction, Mystery, Womens Fiction, Chick Lit","3,210",4.08,English
868,Fire Study,Maria V. Snyder,9780778325345, MIRA,2008,"42,654","Fantasy, Young Adult, Fantasy, Magic, Romance","3,192",3.95,English
869,The Weight of Silence: A Novel of Suspense,Heather Gudenkauf,9781460320853,MIRA,2013,"34,133","Fiction, Mystery, Suspense, Contemporary","3,440",3.93,English
870,Marvels,Kurt Busiek,9780785100492, Marvel Comics,2010,"22,086","Sequential Art, Comics, Sequential Art, Graphic Novels, Superheroes, Marvel, Comics, Comic Book, Fiction, Comics, Superheroes",467,4.21,English
871,Marvel 1602,Neil Gaiman,9780785123118, Marvel,2010,"44,059","Sequential Art, Graphic Novels, Sequential Art, Comics, Fantasy, Fiction, Superheroes, Marvel, Comics, Superheroes","1,268",3.92,English
872,Bone Thief,Thomas O'Callaghan,9780786018116, Pinnacle,2006,407,"Thriller, Mystery, Mystery, Crime, Fiction, Suspense",63,3.49,English
873,"""Negro President"": Jefferson and the Slave Power",Garry Wills,9780618485376,Houghton Mifflin Harcourt,2005,189,"History, Nonfiction, Biography, North American Hi..., American History, Politics, Biography Memoir",26,3.66,English
874,The Devil's Heiress,Jo Beverley,9780786562909, Signet Book,2001,994,"Romance, Romance, Historical Romance, Historical, Historical, Regency, Historical Romance, Regency Romance, Historical Fiction",49,3.81,
875,Madame de Stael,Maria Fairweather,9780786717057, Da Capo Press,2013,75,"Biography, History, Cultural, France, Nonfiction, Historical, Literature, 18th Century",16,4.12,English
876,The Cross of Lead (Crispin Series #1),Avi,9780786816583,Disney Press,2004,"18,465","Historical Fiction, Young Adult, Fiction, Historical, Adventure, Childrens","1,672",3.59,English
877,Artemis Fowl,Eoin Colfer,9780786817870, Miramax,2009,"383,212","Fantasy, Young Adult, Fiction, Childrens","8,074",3.82,English
878,The Amulet of Samarkand (Bartimaeus Series #1),Jonathan Stroud,9780786852550,Disney Press,2004,"92,420","Fantasy, Young Adult, Fiction, Fantasy, Magic","3,914",3.99,English
879,Ptolemy's Gate (Bartimaeus Series #3),Jonathan Stroud,9780786838684,Disney-Hyperion,2007,"65,720","Young Adult, Fantasy, Fantasy, Urban Fantasy, Adventure","1,709",4.24,English
880,The Golem's Eye (Bartimaeus Series #2),Jonathan Stroud,9780786836543,Disney-Hyperion,2006,"72,664","Fantasy, Young Adult, Fiction, Fantasy, Magic, Adventure, Childrens, Young Adult, Young Adult Fantasy, Audiobook, Fantasy, Urban Fantasy, Childrens, Middle Grade","1,589",4.09,English
881,The Lightning Thief (Percy Jackson and the Olympians Series #1),Rick Riordan,9780786838653,Disney-Hyperion,2006,"1,318,508","Fantasy, Young Adult, Fantasy, Mythology, Fiction","43,793",4.22,English
882,Peter and the Starcatchers (Starcatchers Series #1),Dave Barry,9780786849079,Disney Press,2006,"58,135","Fantasy, Young Adult, Fiction, Adventure, Childrens","4,268",4.01,English
883,Cryptid Hunters,Roland Smith,9780786851621, Disney-Hyperion,2006,"4,559","Science Fiction, Adventure, Young Adult, Fantasy, Mystery, Fiction",395,4.19,English
884,Sold,Patricia  McCormick,9780786851713, Hyperion Book CH,2008,"36,108","Young Adult, Realistic Fiction, Fiction, Poetry, Young Adult, Teen, Cultural, India, Sociology, Abuse, Cultural, Adventure, Survival, Cultural, Asia","4,506",4.18,English
885,The Sea of Monsters (Percy Jackson and the Olympians Series #2),Rick Riordan,9781423103349,Disney-Hyperion,2007,"522,948","Fantasy, Young Adult, Fantasy, Mythology, Fiction, Adventure, Childrens, Middle Grade, Childrens, Mythology, Greek Mythology, Fantasy, Urban Fantasy, Fantasy, Magic","19,032",4.23,English
886,The Last Samurai,Helen DeWitt,9780786887002, Miramax Books,2016,"3,238","Fiction, Contemporary, Novels, Literature, American, Literature, Literary Fiction",454,4.17,English
887,Napalm & Silly Putty,George Carlin,9780786887583, Hyperion,2002,"13,082","Humor, Humor, Comedy, Nonfiction",303,4.12,English
888,90 Minutes in Heaven: A True Story of Death and Life (Movie-Tie-In Edition),Don Piper,9780800726805,Baker Publishing Group,2015,"69,183","Nonfiction, Religion, Spirituality, Autobiography, Memoir, Biography, Christian, Religion, Christianity, Biography, Autobiography, Religion, Faith, Christian, Christian Non Fiction","3,008",3.91,English
889,And the Hippos Were Boiled in Their Tanks,William S. Burroughs,9780802118769, Grove Press,2008,"7,758","Fiction, Classics",556,3.71,English
890,Euphoria,Lily King,9780802122551, Atlantic Monthly Press,2015,"43,995","Historical Fiction, Fiction, Audiobook, Anthropology, Historical","5,133",3.84,English
891,Peace Like a River,Leif Enger,9780802139252, Atlantic Monthly Press,2002,"59,394","Fiction, Historical Fiction, Book Club, Adult","5,938",3.97,English
892,"I, Lucifer",Glen Duncan,9780802140142, Grove Press,2003,"7,385","Fiction, Fantasy, Humor, Religion, Horror, Fantasy, Paranormal, Fantasy, Supernatural, Contemporary, Fantasy, Urban Fantasy, Paranormal, Angels",779,3.65,English
893,The Inheritance of Loss,Kiran Desai,9780802142818, Grove Press,2006,"39,190","Fiction, Cultural, India, Historical Fiction","3,311",3.4,English
894,Death of an Ordinary Man,Glen Duncan,9780802170040," Grove Press, Black Cat",2004,805,"Fiction, Literature, Adult Fiction, Fantasy",93,3.39,English
895,Rules of Attraction (Perfect Chemistry Series #2),Simone Elkeles,9781619637023,Bloomsbury USA,2015,"69,556","Young Adult, Romance, Contemporary, Realistic Fiction","3,654",4.22,English
896,Willow,Julia Hoban,9780803733565, Dial Books,2010,"29,202","Young Adult, Romance, Contemporary, Fiction, Realistic Fiction","1,886",3.95,English
897,The Sky Is Everywhere,Jandy Nelson,9780803734951, Dial,2011,"65,760","Young Adult, Contemporary, Romance, Fiction, Realistic Fiction, Death, Music, Young Adult, Young Adult Contemporary, Young Adult, Teen, Womens Fiction, Chick Lit","7,158",4.04,English
898,I'll Give You the Sun,Jandy Nelson,9780803734968, Dial Books,2015,"127,480","Young Adult, Contemporary, Romance, Glbt, Fiction","14,752",4.14,English
899,Horse Heaven,Jane Smiley,9780804119436, Ballantine Books,2001,"4,384","Fiction, Animals, Horses, Animals, Contemporary",312,3.87,English
900,The Martian,Andy Weir,9780804139021, Crown,2014,"475,023","Science Fiction, Fiction","58,653",4.39,English
901,Three Broken Promises (One Week Girlfriend Series #3),Monica  Murphy,9780804176804,Random House Publishing Group,2013,"7,755","New Adult, Romance, Contemporary, Romance, Contemporary Romance",785,3.71,English
902,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,9780805063899, Owl Books (Henry Holt),2011,"155,536","Nonfiction, Social Issues, Poverty, Sociology, Adult, Social Issues, Social Science, Politics","5,599",3.6,English
