ID,Title,Author,ISBN13,Publication,Published_Date,Ratings,Genres,Reviews,Average_Rating,Language
1,Fool's Errand (Tawny Man Series #1),Robin Hobb,9780553582444,Random House Publishing Group,2002,"52,825","Fantasy, Fiction, Fantasy, High Fantasy, Science Fiction Fantasy","1,157",4.28,English
2,The Yiddish Policemen's Union,Michael Chabon,9780007149827, HarperCollins,2008,"50,351","Fiction, Mystery, Science Fiction, Science Fiction, Alternate History, Mystery, Crime","5,860",3.69,English
3,Unless,Carol Shields,9780007154616, Fourth Estate (GB),2006,"10,719","Fiction, Cultural, Canada",877,3.63,English
4,Remarkable Creatures,Tracy Chevalier,9780007178377, HarperCollins Publishers Ltd,2010,"31,582","Historical Fiction, Fiction, Historical, European Literature, British Literature, Literature, 19th Century, Adult Fiction, Womens, Audiobook, Book Club, Adult","3,674",3.8,English
5,The Winter Rose,Jennifer Donnelly,9780007191321, Harper Collins,2009,"14,609","Historical Fiction, Romance, Historical, Fiction, Romance, Historical Romance","1,197",4.3,English
6,Genghis: Bones of the Hills (Khan Dynasty Series #3),Conn Iggulden,9780385342803,Random House Publishing Group,2010,"12,327","Historical Fiction, Fiction, Historical, War",363,4.32,English
7,Ingo,Helen Dunmore,9780007204885, Harper Collins Children's Books,2008,"7,926","Fantasy, Mermaids, Young Adult, Adventure",658,3.93,English
8,The Tea Rose,Jennifer Donnelly,9780007208005, Harper Collins Ltd,2007,"23,854","Historical Fiction, Romance, Historical, Fiction, Romance, Historical Romance, Adult","2,408",4.17,English
9,The Winter Rose,Jennifer Donnelly,9781401307462,Hachette Books,2009,"23,854","Historical Fiction, Romance, Historical, Fiction, Romance, Historical Romance, Adult","2,408",4.17,English
10,The Burning Land (Last Kingdom Series #5) (Saxon Tales),Bernard Cornwell,9780060888763,HarperCollins Publishers,2010,"17,179","Historical Fiction, Fiction, Historical, Fantasy, European Literature, British Literature, Historical Fiction, Medieval, War, Adventure, Historical, Anglo Saxon, Audiobook",611,4.29,English
11,Wolf Hall,Hilary Mantel,9780007230204, HarperCollins Publishers Ltd,2010,"112,488","Historical Fiction, Fiction, Historical","12,515",3.84,English
12,The Pagan Lord (Last Kingdom Series #7) (Saxon Tales),Bernard Cornwell,9780061969720,HarperCollins Publishers,2015,"10,231","Historical Fiction, Fiction, Historical",723,4.33,English
13,The Woodcutter,Reginald Hill,9780007343874, HarperCollins Publishers,2011,"3,596","Mystery, Fiction, Mystery, Crime, Thriller, Audiobook, Thriller, Mystery Thriller",426,4.06,English
14,Insurgent (B&N Exclusive Edition) (Divergent Series #2),Veronica Roth,9780062388452,HarperCollins Children's Books,2015,"911,409","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","55,191",4.08,English
15,The Shock of the Fall,Nathan Filer,9780007491438, Harper Collins,2015,"30,738","Fiction, Contemporary, Health, Mental Health, Mental Health, Mental Illness","3,441",3.79,English
16,Abhorsen (Abhorsen Series #3),Garth Nix,9780062315571,HarperCollins Publishers,2014,"84,637","Fantasy, Young Adult, Fiction","1,667",4.28,English
17,Going Postal (Discworld Series #33),Terry Pratchett,9780062334978,HarperCollins Publishers,2014,"78,296","Fantasy, Fiction, Humor","2,152",4.35,English
18,The Plague of Doves,Louise Erdrich,9780060515126, HarperCollins,2009,"9,901","Fiction, Historical Fiction, Mystery, Novels","1,546",3.75,English
19,The Children's Blizzard,David Laskin,9780060520762, Harper Perennial,2005,"7,081","History, Nonfiction, North American Hi..., American History, Historical, Science",814,3.92,English
20,Everything Is Illuminated,Jonathan Safran Foer,9780060529703, Harper Perennial,2015,"139,766","Fiction, Historical Fiction, Contemporary, Novels, Literature, World War II, Holocaust, Literature, Jewish, Literature, American, Adult Fiction, Historical","6,833",3.9,English
21,The Graveyard Book,Neil Gaiman,9780060530921, HarperCollins,2010,"305,675","Fantasy, Young Adult, Fiction, Horror, Childrens, Fantasy, Paranormal","22,565",4.11,English
22,13 Little Blue Envelopes,Maureen Johnson,9780060541439, HarperTeen,2016,"69,401","Young Adult, Romance, Contemporary, Fiction, Womens Fiction, Chick Lit","4,228",3.65,English
23,The Lost: A Search for Six of Six Million,Daniel Mendelsohn,9780060542979, Harper,2013,"3,960","Nonfiction, History, World War II, Holocaust, Autobiography, Memoir, Biography, War, World War II, Literature, Jewish, War, Historical, Religion, Judaism",570,4.07,English
24,Truth and Beauty: A Friendship,Ann Patchett,9780060572150,HarperCollins Publishers,2005,"26,864","Nonfiction, Autobiography, Memoir, Biography","2,551",3.93,English
25,Dead Witch Walking (Hollows Series #1),Kim Harrison,9780060572969,HarperCollins Publishers,2004,"94,055","Fantasy, Urban Fantasy, Fantasy, Fantasy, Paranormal, Paranormal, Vampires, Paranormal, Witches, Fantasy, Magic","4,052",4.04,English
26,"The Good, the Bad, and the Undead (Hollows Series #2)",Kim Harrison,9780060572976,HarperCollins Publishers,2005,"51,105","Fantasy, Urban Fantasy, Fantasy, Fantasy, Paranormal, Paranormal, Vampires, Paranormal, Witches, Fantasy, Magic","1,594",4.26,English
27,Magyk (Septimus Heap Series #1),Angie Sage,9780060577339,HarperCollins Publishers,2006,"87,772","Fantasy, Young Adult, Fantasy, Magic, Fiction","4,249",3.79,English
28,Flyte (Septimus Heap Series #2),Angie Sage,9780060577360,HarperCollins Publishers,2007,"53,217","Fantasy, Young Adult, Fantasy, Magic, Fiction","1,425",3.98,English
29,Physik (Septimus Heap Series #3),Angie Sage,9780060577391,HarperCollins Publishers,2008,"43,680","Fantasy, Young Adult, Fantasy, Magic, Fiction","1,075",3.99,English
30,Sandstorm (Sigma Force Series),James Rollins,9780062017581,HarperCollins Publishers,2011,"30,769","Thriller, Fiction, Adventure, Mystery, Action, Science Fiction, Suspense, Thriller, Mystery Thriller, Historical Fiction, Audiobook","1,299",3.94,English
31,Mystic River,Dennis Lehane,9780060584757, William Morrow Paperbacks,2011,"83,570","Mystery, Fiction, Mystery, Crime, Thriller, Thriller, Mystery Thriller, Suspense","2,656",4.19,English
32,You Suck,Christopher Moore,9780060590291, William Morrow,2008,"40,424","Humor, Fiction, Fantasy, Paranormal, Vampires, Humor, Comedy, Fantasy, Paranormal","2,557",3.82,English
33,Quicksilver (Baroque Cycle Series #1),Neal Stephenson,9780060593087,HarperCollins Publishers,2004,"29,725","Fiction, Historical Fiction, Science Fiction, Fantasy, Historical","1,737",3.91,English
34,"Crooked Letter, Crooked Letter",Tom Franklin,9780060594664, William Morrow,2011,"31,940","Mystery, Fiction, Mystery, Crime","4,226",3.82,English
35,The Confusion (Baroque Cycle Series #2),Neal Stephenson,9780060733353,HarperCollins Publishers,2005,"18,498","Fiction, Historical Fiction, Science Fiction, Fantasy, Historical",606,4.23,English
36,Fairest,Gail Carson Levine,9780060734084, HarperCollins,2008,"50,801","Fantasy, Young Adult, Fantasy, Fairy Tales, Romance, Fiction","3,731",3.86,English
37,Shakespeare: The World as Stage,Bill Bryson,9780060740221, HarperCollinsPublishing,2016,"27,994","Nonfiction, Biography, History, Historical, Humor, Audiobook, Literature, Biography Memoir, Plays, Theatre, Writing, Books About Books","2,197",3.79,English
38,The System of the World (Baroque Cycle Series #3),Neal Stephenson,9780060750862,HarperCollins Publishers,2005,"17,105","Fiction, Historical Fiction, Science Fiction, Fantasy, Historical",563,4.3,English
39,The Judas Strain (Sigma Force Series),James Rollins,9780062017925,HarperCollins Publishers,2011,"21,995","Thriller, Fiction, Adventure, Action, Thriller, Mystery Thriller, Science Fiction, Suspense, Historical Fiction, Mystery, War, Military",964,4.15,English
40,"Night of the Soul Stealer (The Last Apprentice / Wardstone Chronicles, Book 3)",Joseph Delaney,9780060766245, Greenwillow Books,2008,"19,858","Young Adult, Horror, Fiction, Fantasy, Magic, Fantasy, Fantasy, Supernatural, Adventure, Paranormal, Witches, Childrens, Young Adult, Teen",578,4.12,English
41,The Outlaw Demon Wails (Hollows Series #6),Kim Harrison,9780061149825,HarperCollins Publishers,2008,"46,274","Fantasy, Urban Fantasy, Fantasy, Fantasy, Paranormal, Paranormal, Vampires, Paranormal, Witches, Fantasy, Magic","1,062",4.38,English
42,The Space Between Us: A Novel,Thrity Umrigar,9780062564641,HarperCollins Publishers,2016,"30,597","Fiction, Cultural, India, Historical Fiction, Book Club, Contemporary","3,097",3.97,English
43,I Am Not Myself These Days,Josh Kilmer-Purcell,9780060817329, Harper Perennial,2006,"10,385","Autobiography, Memoir, Nonfiction, Glbt, Humor, Biography",845,3.96,English
44,MirrorMask,Neil Gaiman,9780060821098, HarperCollins Publishers,2005,"5,813","Fantasy, Young Adult, Fiction, Sequential Art, Graphic Novels, Audiobook",297,3.89,English
45,The Madonnas of Leningrad: A Novel,Debra Dean,9780060825317,HarperCollins Publishers,2007,"13,385","Historical Fiction, Fiction, Cultural, Russia, Art, War, World War II","1,837",3.76,English
46,Abundance: A Novel of Marie Antoinette,Sena Jeter Naslund,9780060825393, William Morrow,2007,"7,734","Historical Fiction, Fiction, Historical, Cultural, France, European History, French Revolution",991,3.72,English
47,The Queen of Attolia (The Queen's Thief Series #2),Megan Whalen Turner,9780060841829,HarperCollins Publishers,2006,"22,559","Fantasy, Young Adult, Fiction, Adventure","1,837",4.36,English
48,The King of Attolia,Megan Whalen Turner,9780060835774, Greenwillow Books,2017,"22,559","Fantasy, Young Adult, Fiction, Adventure","1,837",4.36,English
49,Fast Food Nation : The Dark Side of the All-American Meal,Eric Schlosser,9780060838584, Harper Perennial,2012,"179,671","Nonfiction, Food and Drink, Food, Health, Sociology, Politics","4,971",3.73,English
50,Cloaked,Alex Flinn,9780060874223, HarperCollins,2012,"13,574","Fantasy, Young Adult, Fantasy, Fairy Tales, Romance, Fantasy, Magic, Retellings","1,521",3.65,English
51,"Taking Charge of Your Fertility, 20th Anniversary Edition: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health",Toni Weschler,9780062326034,HarperCollins Publishers,2015,"6,024","Parenting, Health, Reference, Nonfiction",933,4.49,English
52,Billy Lynn's Long Halftime Walk,Ben Fountain,9780060885595, Ecco,2012,"22,814","Fiction, War, Literary Fiction, Contemporary, Novels","3,044",3.82,English
53,The Last Kingdom (Last Kingdom Series #1) (Saxon Tales),Bernard Cornwell,9780060887186,HarperCollins Publishers,2006,"42,327","Fiction, Historical Fiction, Historical, Fantasy, Historical Fiction, Medieval","2,441",4.23,English
54,Flawless (Pretty Little Liars Series #2),Sara Shepard,9780060887353,HarperCollins Publishers,2008,"62,287","Young Adult, Mystery, Contemporary","3,022",3.97,English
55,Lords of the North (Last Kingdom Series #3) (Saxon Tales),Bernard Cornwell,9780061149047,HarperCollins Publishers,2008,"22,292","Historical Fiction, Fiction, Historical",713,4.31,English
56,The Scent of Shadows (Signs of the Zodiac Series #1),Vicki Pettersson,9780060898915,HarperCollins Publishers,2007,"9,162","Fantasy, Urban Fantasy, Fantasy, Fantasy, Paranormal, Fiction",523,3.51,English
57,Mirror Mirror,Gregory Maguire,9780060988654, Regan Books,2004,"26,800","Fantasy, Fiction, Fantasy, Fairy Tales, Historical Fiction","1,507",3.27,English
58,The Dirt: Confessions of the World's Most Notorious Rock Band,Tommy Lee,9780060989156, HarperCollins Publishers,2002,"22,902","Music, Nonfiction, Biography, Autobiography, Memoir","1,427",4.16,English
59,"Deepsix (Priscilla ""Hutch"" Hutchins Series #2)",Jack McDevitt,9780061020063,HarperCollins Publishers,2002,"3,293","Science Fiction, Fiction, Science Fiction, Space Opera",191,3.85,English
60,Sacred Games,Vikram Chandra,9780061130359, HarperCollins,2007,"4,813","Fiction, Cultural, India, Mystery, Mystery, Crime, Asian Literature, Indian Literature, Thriller",644,3.94,English
61,Heart-Shaped Box,Joe Hill,9780061147937, William Morrow,2009,"70,292","Horror, Fiction, Thriller, Fantasy, Paranormal, Paranormal, Ghosts, Fantasy, Supernatural, Fantasy, Mystery, Suspense, Adult","6,130",3.82,English
62,Horns,Joe Hill,9780061147951, William Morrow,2011,"72,190","Horror, Fiction, Fantasy, Mystery, Thriller","7,045",3.91,English
63,20th Century Ghosts,Joe Hill,9780061147975, William Morrow,2008,"23,364","Horror, Short Stories, Fiction, Fantasy, Paranormal, Ghosts","1,713",3.95,English
64,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,9780061173394, HarperCollins Publishers,2009,"132,428","Humor, Nonfiction, Autobiography, Memoir, Humor, Comedy, Biography","6,661",3.85,English
65,Ink Exchange (Wicked Lovely Series #2),Melissa Marr,9780061214707,HarperCollins Publishers,2009,"49,702","Fantasy, Young Adult, Fantasy, Paranormal, Fantasy, Urban Fantasy, Paranormal, Fairies, Romance, Fairies, Fae, Romance, Paranormal Romance, Fiction, Fantasy, Supernatural","2,828",3.68,English
66,The Gravedigger's Daughter,Joyce Carol Oates,9780061236822, Ecco Press,2008,"7,880","Fiction, Historical Fiction, Contemporary",974,3.51,English
67,One Foot in the Grave (Night Huntress Series #2),Jeaniene Frost,9780061245091,HarperCollins Publishers,2008,"79,552","Paranormal, Vampires, Fantasy, Paranormal, Fantasy, Urban Fantasy, Romance, Adult, Romance, Paranormal Romance, Fantasy, Supernatural, Fiction, Audiobook, Fantasy","3,144",4.32,English
68,Evernight (Evernight Series #1),Claudia Gray,9780061284441,HarperCollins Publishers,2009,"65,507","Young Adult, Paranormal, Vampires, Fantasy, Paranormal, Fantasy, Romance","3,088",3.65,English
69,Enemy Women,Paulette Jiles,9780061337635, Harper Perennial,2007,"3,354","Historical Fiction, Fiction, Military History, Civil War, War, Historical, Romance",450,3.64,English
70,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,9780061353239, HarperCollins Canada,2010,"62,693","Economics, Nonfiction, Business, Psychology, Science","3,479",4.1,English
71,Les Bienveillantes,Jonathan Littell,9780061353451, Harper,2008,"5,579","Fiction, Historical Fiction, Cultural, France, War, War, World War II",812,4.03,English
72,"Life on the Refrigerator Door: Notes Between a Mother and Daughter, a novel",Alice Kuipers,9780061843198,HarperCollins Publishers,2009,"6,883","Fiction, Young Adult, Contemporary, Family, Womens Fiction, Chick Lit","1,441",3.65,English
73,Nation,Terry Pratchett,9780061433016, HarperCollins,2009,"25,596","Fantasy, Young Adult, Fiction, Adventure","2,338",4.04,English
74,Serena,Ron Rash,9780061470851, Ecco,2009,"27,784","Historical Fiction, Fiction, Historical, Adult, American, Southern, Adult Fiction, Media Tie In, Movies, Literary Fiction, Book Club, Novels","3,745",3.52,English
75,Anathem,Neal Stephenson,9780061474095, William Morrow,2009,"47,154","Science Fiction, Fiction, Fantasy","3,996",4.18,English
76,Telegraph Avenue,Michael Chabon,9780061493348, HarperCollins,2013,"16,858","Fiction, Music, Literary Fiction, Contemporary","2,895",3.36,English
77,The Strain (Strain Trilogy #1),Guillermo del Toro,9780062068255,HarperCollins Publishers,2011,"65,790","Science Fiction, Fantasy, Supernatural, Audiobook, Suspense, Horror, Fantasy, Urban Fantasy","5,778",3.77,English
78,Darklight (Wondrous Strange Series #2),Lesley Livingston,9780061961328,HarperCollins Publishers,2009,"9,056","Young Adult, Fantasy, Paranormal, Fairies, Romance, Fantasy, Paranormal, Fantasy, Urban Fantasy, Fantasy, Magic, Fairies, Fae, Fiction, Romance, Paranormal Romance",633,3.92,English
79,"The Happiness Project (Revised Edition): Or, Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",Gretchen Rubin,9780062414854,HarperCollins Publishers,2015,"95,806","Nonfiction, Self Help, Autobiography, Memoir","9,796",3.56,English
80,The Summoning (Darkest Powers Series #1),Kelley Armstrong,9780061450549,HarperCollins Publishers,2009,"132,631","Young Adult, Fantasy, Paranormal, Fantasy, Urban Fantasy, Fantasy, Fantasy, Supernatural, Fantasy, Magic, Shapeshifters, Werewolves, Paranormal, Ghosts, Romance, Fiction","5,707",4.03,English
81,Spells (Laurel Series #2),Aprilynne Pike,9780061668081,HarperCollins Publishers,2011,"35,281","Fantasy, Young Adult, Romance, Paranormal, Fairies, Fantasy, Paranormal","1,900",3.99,English
82,Falling together,Marisa de los Santos,9780061670879, William Morrow,2012,"8,780","Fiction, Womens Fiction, Chick Lit, Romance, Contemporary","1,427",3.55,English
83,The Captive (Part 2) and The Power (Secret Circle Series #2-3),L. J. Smith,9780061671357,HarperCollins Publishers,2008,"16,816","Young Adult, Paranormal, Witches, Fantasy, Paranormal, Fantasy, Romance",549,4.11,English
84,Sandman Slim (Sandman Slim Series #1),Richard Kadrey,9780061714351,HarperCollins Publishers,2012,"25,482","Fantasy, Urban Fantasy, Fantasy, Horror, Fiction, Fantasy, Paranormal","2,330",3.93,English
85,Before I Fall (Movie Tie-in Edition),Lauren Oliver,9780062656322,HarperCollins Publishers,2017,"206,922","Young Adult, Contemporary, Romance, Fiction, Fantasy, Realistic Fiction, Death, Young Adult, Teen, Fantasy, Paranormal, Womens Fiction, Chick Lit","15,307",3.92,English
86,Delirium (Delirium Series #1),Lauren Oliver,9780061726835,HarperCollins Publishers,2012,"336,561","Romance, Fiction, Fantasy, Young Adult, Teen","23,690",4.0,English
87,"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe",Gayle Tzemach Lemmon,9780061732379, Harper,2012,"11,535","Autobiography, Memoir, History, Audiobook, Biography Memoir, War, Nonfiction, Cultural, Asia, Inspirational, Cultural, Biography","1,926",3.68,English
88,Bite Me,Christopher Moore,9780061779725, HarperCollins William Morrow,2011,"21,683","Humor, Fiction, Fantasy, Paranormal, Vampires, Humor, Comedy, Fantasy, Paranormal","1,513",3.84,English
89,Sacré Bleu: A Comedy d'Art,Christopher Moore,9780061779749, HarperCollins,2012,"24,794","Fiction, Humor, Historical Fiction, Fantasy, Art, Humor, Comedy, Mystery","3,168",3.76,English
90,Secondhand Souls,Christopher Moore,9780061779787, William Morrow,2016,"8,663","Humor, Fiction, Fantasy, Audiobook, Humor, Comedy, Humor, Funny, Fantasy, Urban Fantasy","1,175",3.92,English
91,Desires of the Dead (Body Finder Series #2),Kimberly Derting,9780061779862,HarperCollins Publishers,2012,"20,831","Mystery, Romance, Fantasy, Fantasy, Supernatural, Young Adult","1,572",4.07,English
92,The Hidden Gallery (The Incorrigible Children of Ashton Place Series #2),Maryrose Wood,9780062366948,HarperCollins Publishers,2015,"5,600","Mystery, Childrens, Middle Grade, Childrens, Fantasy, Historical Fiction, Fiction",698,4.01,English
93,The Gathering (Darkness Rising Series #1),Kelley Armstrong,9780061797033,HarperCollins Publishers,2012,"49,226","Young Adult, Fantasy, Paranormal, Fantasy, Fantasy, Urban Fantasy, Fantasy, Supernatural","3,095",4.03,English
94,Labor Day,Joyce Maynard,9780061843402, William Morrow,2010,"27,245","Fiction, Romance, Contemporary","3,094",3.55,English
95,A Conspiracy of Kings,Megan Whalen Turner,9780061870934, Greenwillow Books/HarperCollins Publishers,2017,"13,379","Fantasy, Young Adult, Fantasy, Mythology, Adventure","1,425",4.08,English
96,The Financial Lives of the Poets,Jess Walter,9780061916052, Harper Perennial,2010,"8,209","Fiction, Humor, Contemporary, Novels, Adult Fiction","1,261",3.68,English
97,Secret Daughter: A Novel,Shilpi Somaya Gowda,9780061928352,HarperCollins Publishers,2011,"56,128","Fiction, Cultural, India, Contemporary, Parenting, Adoption","4,734",3.96,English
98,Beautiful Ruins,Jess Walter,9780061928123, Harper,2013,"121,930","Fiction, Historical Fiction, Cultural, Italy, Romance, Audiobook","13,360",3.68,English
99,The Husband Hunt (Madison Sisters Series #3),Lynsay Sands,9780061963100,HarperCollins Publishers,2012,"2,802","Romance, Historical Romance, Romance, Historical, Historical, Regency, Historical Fiction",190,3.82,English
100,An English Bride in Scotland,Lynsay Sands,9780061963117, Avon,2013,"4,176","Romance, Historical Romance, Romance, Historical, Historical Fiction, Cultural, Scotland, Audiobook, Historical Fiction, Medieval, Adult, Fiction, Historical Romance, Medieval Romance",369,3.93,English
101,The Power of Six (Lorien Legacies Series #2),Pittacus Lore,9780061974571,HarperCollins Publishers,2012,"102,325","Young Adult, Fantasy, Science Fiction","5,638",4.17,English
102,Pandemonium (Delirium Series #2),Lauren Oliver,9780061978074,HarperCollins Publishers,2013,"185,780","Science Fiction, Fantasy","13,636",4.07,English
103,Paranormalcy (Paranormalcy Series #1),Kiersten White,9780061985850,HarperCollins Publishers,2011,"80,874","Young Adult, Fantasy, Paranormal, Fantasy, Paranormal, Vampires, Romance","5,699",3.92,English
104,Cheat the Grave (Signs of the Zodiac Series #5),Vicki Pettersson,9780061456770,HarperCollins Publishers,2010,"2,834","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Fiction",137,4.04,English
105,Die for Me (Die for Me Series #1),Amy Plum,9780062004024,HarperCollins Publishers,2012,"46,895","Young Adult, Fantasy, Paranormal, Fantasy, Romance","4,256",4.0,English
106,Starcrossed (Starcrossed Trilogy Series #1),Josephine Angelini,9780062012005,HarperCollins Publishers,2012,"53,650","Young Adult, Young Adult Paranormal, Young Adult","4,747",4.08,English
107,Requiem (Delirium Series #3),Lauren Oliver,9780062014542,HarperCollins Publishers,2014,"104,690","Young Adult, Science Fiction, Dystopia, Romance","11,960",3.75,English
108,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,9780062237422,HarperCollins Publishers,2012,"2,079,198","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,557",4.25,English
109,Four: The Transfer: A Divergent Story,Veronica Roth,9780062285638,HarperCollins Publishers,2013,"2,079,198","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,557",4.25,English
110,Divergent (Divergent Series #1),Veronica Roth,9780062387240,HarperCollins Publishers,2014,"2,079,198","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,557",4.25,English
111,Four: A Divergent Collection,Veronica Roth,9780062421364,HarperCollins Publishers,2016,"2,079,198","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,557",4.25,English
112,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,9780062237422,HarperCollins Publishers,2012,"2,078,948","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,555",4.25,English
113,Four: The Transfer: A Divergent Story,Veronica Roth,9780062285638,HarperCollins Publishers,2013,"2,078,948","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,555",4.25,English
114,Divergent (Divergent Series #1),Veronica Roth,9780062387240,HarperCollins Publishers,2014,"2,078,948","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,555",4.25,English
115,Four: A Divergent Collection,Veronica Roth,9780062421364,HarperCollins Publishers,2016,"2,078,948","Young Adult, Science Fiction, Dystopia, Fiction, Fantasy","99,555",4.25,English
116,Wildwood (The Wildwood Chronicles Series #I),Colin Meloy,9780062024701,HarperCollins Publishers,2012,"18,470","Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Childrens","2,665",3.63,English
117,The Girl of Fire and Thorns (Girl of Fire and Thorns Series #1),Rae Carson,9780062026507,HarperCollins Publishers,2012,"58,543","Fantasy, Young Adult","5,772",3.81,English
118,The Sisters Brothers,Patrick deWitt,9780062041265, Ecco,2012,"56,588","Fiction, Historical Fiction, Western, Historical, Cultural, Canada","6,736",3.83,English
119,State of Wonder,Ann Patchett,9780062049803, HarperCollins Publishers,2012,"128,853","Fiction, Book Club, Contemporary, Adult Fiction","14,376",3.85,English
120,The Elite (Selection Series #2),Kiera Cass,9780062059970,HarperCollins Publishers,2014,"478,784","Young Adult, Science Fiction, Dystopia, Romance, Fantasy, Fiction","33,518",4.16,English
121,The One (Selection Series #3),Kiera Cass,9780062060006,HarperCollins Publishers,2015,"478,784","Young Adult, Science Fiction, Dystopia, Romance, Fantasy, Fiction","33,518",4.16,English
122,The Elite (Selection Series #2),Kiera Cass,9780062059970,HarperCollins Publishers,2014,"247,565","Young Adult, Romance, Science Fiction, Dystopia, Fantasy","20,511",4.02,English
123,The One (Selection Series #3),Kiera Cass,9780062060006,HarperCollins Publishers,2015,"215,090","Young Adult, Romance, Science Fiction, Dystopia, Fantasy","20,317",4.21,English
124,Before I Go To Sleep,S. J. Watson,9780062060556, HarperCollins Publishers,2012,"198,432","Fiction, Mystery, Thriller, Suspense","18,424",3.87,English
125,The Round House,Louise Erdrich,9780062065247, HarperCollins,2013,"72,553","Fiction, Mystery, Historical Fiction, Young Adult, Coming Of Age","7,847",3.9,English
126,The Round House,Louise Erdrich,9780062065254, Harper Perennial,2013,"72,556","Fiction, Mystery, Historical Fiction, Young Adult, Coming Of Age","7,847",3.9,English
127,All That I Am,Anna Funder,9780062077561, HarperTorch,2013,"6,331","Historical Fiction, Fiction, Cultural, Germany, Historical, War",962,3.78,English
128,Shatter Me (Shatter Me Series #1),Tahereh Mafi,9780062085504,HarperCollins Publishers,2012,"186,492","Young Adult, Science Fiction, Dystopia, Romance, Fantasy, Fantasy, Paranormal, Science Fiction, Fiction, Fantasy, Supernatural, Apocalyptic, Post Apocalyptic, Young Adult, Teen","19,700",4.02,English
129,Shatter Me (Shatter Me Series #1),Tahereh Mafi,9780062085504,HarperCollins Publishers,2012,"186,499","Young Adult, Science Fiction, Dystopia, Romance, Fantasy, Fantasy, Paranormal, Science Fiction, Fiction, Fantasy, Supernatural, Apocalyptic, Post Apocalyptic, Young Adult, Teen","19,701",4.02,English
130,The New Republic: A Novel,Lionel Shriver,9780594795230,HarperCollins Publishers,2013,"1,294","Fiction, Contemporary, Literary Fiction",236,2.96,English
131,The Illusion of Separateness: A Novel,Simon Van Booy,9780062248459,HarperCollins Publishers,2014,"3,235","Fiction, Historical Fiction, War, World War II, War, Historical",630,3.99,English
132,Flight Behavior,Barbara Kingsolver,9780062124265, HarperCollins,2013,"62,630","Fiction, Contemporary, Literary Fiction, Environment","8,600",3.75,English
133,NOS4A2,Joe Hill,9780062200570, William Morrow,2013,"55,326","Horror, Fantasy, Thriller, Fiction, Audiobook, Fantasy, Paranormal","7,389",4.05,English
134,The Murder Complex (Murder Complex Series #1),Lindsay Cummings,9780062220011,HarperCollins Publishers,2015,"6,929","Young Adult, Science Fiction, Dystopia, Science Fiction","1,437",3.72,English
135,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,9780062237422,HarperCollins Publishers,2012,"86,945","Young Adult, Science Fiction, Dystopia, Short Stories","4,757",4.18,English
136,The Ocean at the End of the Lane,Neil Gaiman,9780062255655, William Morrow Books,2014,"307,376","Fiction, Fantasy, Horror, Magical Realism, Audiobook, Adult","35,621",3.99,English
137,To Marry a Scottish Laird,Lynsay Sands,9780062273581, Avon,2014,"2,427","Romance, Historical Romance, Romance, Historical, Historical Fiction, Audiobook",203,3.95,English
138,Four: The Transfer: A Divergent Story,Veronica Roth,9780062285638,HarperCollins Publishers,2013,"47,019","Young Adult, Science Fiction, Dystopia, Short Stories","2,909",4.19,English
139,Four: The Transfer: A Divergent Story,Veronica Roth,9780062285638,HarperCollins Publishers,2013,"19,945","Young Adult, Science Fiction, Dystopia, Short Stories",603,4.21,English
140,Four: A Divergent Collection,Veronica Roth,9780062285683, HarperCollins Publishers,2016,"107,278","Fiction, Short Stories, Science Fiction, Dystopia, Romance","8,852",4.11,English
141,Go Set a Watchman,Harper Lee,9780062409850, HarperCollins,2016,"149,793","Fiction, Historical Fiction, Classics, Historical, Audiobook, Adult, Adult Fiction, Literature, Literary Fiction, Novels","23,204",3.31,English
142,The Grim Grotto: Book the Eleventh (A Series of Unfortunate Events),Lemony Snicket,9780064410144,HarperCollins Publishers,2004,"71,276","Fiction, Young Adult, Childrens, Fantasy, Mystery","1,343",3.98,English
143,So B. It,Sarah Weeks,9780064410472, HarperCollins,2005,"26,418","Young Adult, Realistic Fiction, Fiction, Childrens, Middle Grade, Childrens, Family, Contemporary, Mystery, Mental Health, Mental Illness, Young Adult, Teen","2,379",4.1,English
