29,9780060577377,Physik (Septimus Heap #3),Angie Sage, Katherine Tegen Books,"[u'March', u'27th', u'2007\n']",9780060577391,Physik (Septimus Heap Series #3),Angie Sage,HarperCollins Publishers,2008
30,9780060580674,Sandstorm,James Rollins, HarperCollins Publishers,"[u'May', u'1st', u'2005\n']",9780062017581,Sandstorm (Sigma Force Series),James Rollins,HarperCollins Publishers,2011
31,9780060584757,Mystic River,Dennis Lehane, William Morrow Paperbacks,"[u'February', u'1st', u'2001\n']",9780062068408,Mystic River,Dennis Lehane,HarperCollins Publishers,2011
32,9780060590291,You Suck,Christopher Moore, William Morrow,"[u'January', u'16th', u'2007\n']",9780060590307,You Suck,Christopher Moore,HarperCollins Publishers,2008
33,9780060593087,Quicksilver,Neal Stephenson, Harper Perennial,"[u'September', u'21st', u'2004\n']",9780060593087,Quicksilver (Baroque Cycle Series #1),Neal Stephenson,HarperCollins Publishers,2004
34,9780060594664,"Crooked Letter, Crooked Letter",Tom Franklin, William Morrow,"[u'October', u'5th', u'2010\n']",9780060594671,"Crooked Letter, Crooked Letter",Tom Franklin,HarperCollins Publishers,2011
35,9780060733353,The Confusion,Neal Stephenson, William Morrow Paperbacks,"[u'June', u'14th', u'2005\n']",9780060733353,The Confusion (Baroque Cycle Series #2),Neal Stephenson,HarperCollins Publishers,2005
36,9780060734084,Fairest,Gail Carson Levine, HarperCollins,"[u'September', u'19th', u'2006\n']",9780060734107,Fairest,Gail Carson Levine,HarperCollins Publishers,2008
37,9780060740221,Shakespeare: The World as Stage,Bill Bryson, HarperCollinsPublishing,"[u'November', u'1st', u'2007\n']",9780062564627,Shakespeare: The World as Stage,Bill Bryson,HarperCollins Publishers,2016
38,9780060750862,The System of the World,Neal Stephenson, William Morrow Paperbacks,"[u'September', u'6th', u'2005\n']",9780060750862,The System of the World (Baroque Cycle Series #3),Neal Stephenson,HarperCollins Publishers,2005
39,9780060763893,The Judas Strain,James Rollins, William Morrow,"[u'July', u'2nd', u'2007\n']",9780062017925,The Judas Strain (Sigma Force Series),James Rollins,HarperCollins Publishers,2011
